feature,importance_gain,importance_ratio
cart_count,18838137.34313965,0.7896448939646521
has_cart,1670103.0,0.07000630064019123
user_hist_active_month_count,692949.0591125488,0.02904659183330054
user_hist_active_day_count,574403.4937286377,0.024077475263946716
avg_cart_price,395031.39001464844,0.016558671082968004
session_duration_seconds,308346.11334228516,0.012925053551711776
events_per_product,279107.10890197754,0.011699431817442657
user_hist_purchase_count,195070.71221923828,0.008176848329543877
user_hist_total_spend,171768.31588745117,0.007200073505931216
user_hist_purchase_cart_ratio,125666.53141784668,0.005267608631831576
avg_view_price,83267.56159973145,0.0034903559546485704
max_view_price,71031.72671508789,0.002977462117850423
start_hour,57511.08996582031,0.00241071278495536
unique_main_category_count,54703.23085021973,0.0022930147571079544
view_count,50122.538803100586,0.0021010042615931535
cart_view_ratio,47347.78240966797,0.001984693812308327
view_price_range,38333.652893066406,0.0016068453437115813
unique_category_count,33197.96691894531,0.0013915709706352293
user_hist_view_count,33145.68588256836,0.001389379487864175
min_view_price,27299.689987182617,0.0011443308015294412
cart_to_view_price_ratio,19154.756225585938,0.0008029167201172285
user_hist_cart_view_ratio,18845.1590423584,0.00078993922502478
user_hist_view_product_count,18513.087280273438,0.000776019655027817
user_hist_cart_count,13834.172073364258,0.0005798919044370771
start_weekday_num,13496.071975708008,0.0005657196425568209
user_hist_purchase_product_count,9078.924118041992,0.0003805644869191485
unique_product_count,7936.480010986328,0.00033267625150902494
user_hist_cart_product_count,3874.4010009765625,0.00016240464287233964
pre_purchase_event_count,2974.4979858398438,0.00012468308855821908
cart_total_price,931.4650268554688,3.9044550369568666e-05
user_hist_avg_spend_per_purchase,747.458984375,3.133150373142749e-05
unique_brand_count,536.5179901123047,2.248941515264217e-05
cart_price_range,0.0,0.0
min_cart_price,0.0,0.0
max_cart_price,0.0,0.0
user_hist_purchase_month_count,0.0,0.0
user_is_old_customer,0.0,0.0
