dataset,top_ratio,top_n,overall_purchase_rate,top_purchase_rate,lift,captured_purchase_count,total_purchase_count,captured_purchase_ratio
valid_2020_03,0.01,3780,0.06666966420515859,0.8978835978835978,13.467648421335888,3394,25207,0.13464513825524657
valid_2020_03,0.05,18904,0.06666966420515859,0.7685146000846381,11.527200702852408,14528,25207,0.576347839885746
valid_2020_03,0.1,37808,0.06666966420515859,0.6075962759204401,9.113534366255697,22972,25207,0.9113341532114095
valid_2020_03,0.2,75617,0.06666966420515859,0.3318962667125117,4.978220164589207,25097,25207,0.9956361328202483
valid_2020_03,0.3,113426,0.06666966420515859,0.221510059422002,3.3225015014379298,25125,25207,0.9967469353750942
test_2020_04,0.01,3482,0.06777685262281433,0.7745548535324526,11.428014485165546,2697,23606,0.11425061425061425
test_2020_04,0.05,17414,0.06777685262281433,0.6628574710003445,9.779997821516139,11543,23606,0.48898585105481657
test_2020_04,0.1,34829,0.06777685262281433,0.5403255907433461,7.97212573074642,18819,23606,0.797212573074642
test_2020_04,0.2,69658,0.06777685262281433,0.3380659794998421,4.9879267982716256,23549,23606,0.9975853596543252
test_2020_04,0.3,104487,0.06777685262281433,0.2255208781953736,3.3274026377474653,23564,23606,0.9982207913242396
